n_hidden_layers,hidden_size,epochs,data_size,train_loss,val_loss,val_loss_initial_data,val_loss_boundary_data,val_loss_collocation,elapsed_time
3.0,80.0,50.0,80.0,0.0030227331444621086,0.002730909502133727,0.0005205023917369545,0.0005763021181337535,0.001634104992263019,126.39079880714417
3.0,80.0,50.0,100.0,0.008463077247142792,0.008961877785623074,0.003859652439132333,0.0023479133378714323,0.0027543120086193085,128.86499762535095
3.0,80.0,50.0,120.0,0.00988345593214035,0.008876631036400795,0.0029664752073585987,0.0026664957404136658,0.003243660554289818,128.1430151462555
3.0,100.0,50.0,80.0,0.0020661051385104656,0.0017683422192931175,0.00018474500393494964,0.0004065133398398757,0.001177083933725953,159.696763753891
3.0,100.0,50.0,100.0,0.008455530740320683,0.00848033931106329,0.0029683196917176247,0.00229942356236279,0.003212596522644162,159.5695858001709
3.0,100.0,50.0,120.0,,,,,,156.28286743164062
3.0,120.0,50.0,80.0,0.010591921396553516,0.012957902625203133,0.0064439838752150536,0.0032831295393407345,0.0032307894434779882,183.63767910003662
3.0,120.0,50.0,100.0,0.005616974085569382,0.005603541620075703,0.0018151607364416122,0.0011160984868183732,0.0026722827460616827,183.31876826286316
3.0,120.0,50.0,120.0,0.005997020285576582,0.00554994773119688,0.0013368491781875491,0.001305552665144205,0.002907546004280448,183.65893125534058
5.0,80.0,50.0,80.0,0.016158102080225945,0.014176491647958755,0.005342515185475349,0.00427924795076251,0.0045547280460596085,222.67579889297485
5.0,80.0,50.0,100.0,0.013251718133687973,0.01269744336605072,0.004906273912638426,0.0031104781664907932,0.0046806917525827885,223.07072758674622
5.0,80.0,50.0,120.0,0.014495749026536942,0.016603367403149605,0.008075899444520473,0.004219355061650276,0.004308112431317568,222.95097160339355
5.0,100.0,50.0,80.0,0.006266126409173012,0.006832416169345379,0.0024082702584564686,0.0015635187737643719,0.002860627369955182,278.1178605556488
5.0,100.0,50.0,100.0,0.007976258173584938,0.007326234597712755,0.0018346869619563222,0.0015709814615547657,0.003920566290616989,278.3737413883209
5.0,100.0,50.0,120.0,2743724429803520.0,1242973199138816.0,175129808076800.0,1067843424616448.0,0.0,270.5562138557434
5.0,120.0,50.0,80.0,0.006935491692274809,0.006581068970263004,0.0019628405570983887,0.0016492903232574463,0.0029689380899071693,320.5900807380676
5.0,120.0,50.0,100.0,0.009496912360191345,0.01341188233345747,0.007435406558215618,0.002799720037728548,0.003176755039021373,320.38815784454346
